city,link,title,date,image
Austin,https://communityimpact.com/new-braunfels/business/local-custom-apparel-business-relocating-to-larger-space-in-new-braunfels/,Local custom apparel business relocating to larger space in New Braunfels,2h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F18%2F436971.jpeg&w=1920&q=75
Austin,https://communityimpact.com/san-marcos-buda-kyle/business/duetts-texas-club-to-reopen-under-new-ownership/,Duett’s Texas Club to reopen under new ownership,2h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F20%2F437705.JPG&w=1920&q=75
Austin,https://communityimpact.com/southwest-austin-dripping-springs/business/arcades-and-apartments-check-out-5-dripping-springs-area-business-updates/,Arcades and apartments: Check out 5 Dripping Springs area business updates,2h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F20%2F436673.jpg&w=1920&q=75
Austin,https://communityimpact.com/cedar-park/business/exclusively-classics-continues-legacy-under-new-ownership-in-cedar-park/,Exclusively Classics continues legacy under new ownership in Cedar Park,3h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F20%2F430926.jpg&w=1920&q=75
Austin,https://communityimpact.com/new-braunfels/business/tip-top-cleaners-temporarily-relocates-in-new-braunfels-after-fire/,Tip Top Cleaners temporarily relocates in New Braunfels after fire,6h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F20%2F437591.jpeg&w=1920&q=75
Austin,https://communityimpact.com/new-braunfels/business/australian-themed-sports-bar-coming-soon-to-freiheit-village-in-new-braunfels/,Australian-themed sports bar coming soon to Freiheit Village in New Braunfels,7h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F20%2F437462.jpg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/denton/business/action-behavior-centers-to-open-new-denton-location/,Action Behavior Centers to open new Denton location,2h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F20%2F437721.jpeg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/grapevine-colleyville-southlake/business/reformation-brings-sustainable-fashion-to-southlake/,Reformation Brings sustainable fashion to Southlake,2h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F20%2F437707.jpeg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/denton/business/cocktail-bar-music-venue-the-pony-sets-grand-opening-date-for-end-of-august/,"Cocktail bar, music venue The Pony sets grand opening date for end of August",3h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F20%2F437677.jpeg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/richardson/business/only-deals-shuts-down-in-richardson/,Only Deals shuts down in Richardson,3h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F20%2F437663.jpg&w=1920&q=75
