company_name,event_type,Title,Link,Published,Summary,Date_Appended
Dutch Bros,Opening,VIDEO: First Seattle Dutch Bros opening soon - KIRO 7 News Seattle,https://www.kiro7.com/news/local/video-first-seattle-dutch-bros-opening-soon/88f0c4b5-b98b-4914-9b96-3d818eb2c943/,2026-07-03 18:45:37+00:00,VIDEO: First Seattle Dutch Bros opening soon KIRO 7 News Seattle,2026-07-04
Swig,Closing,"Once-iconic retailers face closures, complaints, and shifting strategies - MSN",https://www.msn.com/en-us/money/companies/once-iconic-retailers-face-closures-complaints-and-shifting-strategies/ss-AA27acjb?ocid=finance-verthp-feeds,2026-07-03 18:09:19+00:00,"Once-iconic retailers face closures, complaints, and shifting strategies MSN",2026-07-04
Vans,Opening,Vans Officially Opens New Store at Disney Springs - wdwinfo.com,https://www.wdwinfo.com/news-stories/vans-officially-opens-new-store-at-disney-springs/,2026-07-03 16:59:22+00:00,Vans Officially Opens New Store at Disney Springs wdwinfo.com,2026-07-04
Dutch Bros Coffee,Opening,Dutch Bros. files plans to open first Seattle location. Here's where - KING5.com,https://www.king5.com/article/money/business/dutch-bros-files-plans-open-first-seattle-location/281-f856eb9f-a2db-4bde-a6a0-7e3aecb20fa9,2026-07-03 16:28:00+00:00,Dutch Bros. files plans to open first Seattle location. Here's where KING5.com,2026-07-04
Dutch Bros. Coffee,Opening,Dutch Bros. files plans to open first Seattle location. Here's where - KING5.com,https://www.king5.com/article/money/business/dutch-bros-files-plans-open-first-seattle-location/281-f856eb9f-a2db-4bde-a6a0-7e3aecb20fa9,2026-07-03 16:28:00+00:00,Dutch Bros. files plans to open first Seattle location. Here's where KING5.com,2026-07-04
Dutch Bros,Opening,Dutch Bros. files plans to open first Seattle location. Here's where - KING5.com,https://www.king5.com/article/money/business/dutch-bros-files-plans-open-first-seattle-location/281-f856eb9f-a2db-4bde-a6a0-7e3aecb20fa9,2026-07-03 16:28:00+00:00,Dutch Bros. files plans to open first Seattle location. Here's where KING5.com,2026-07-04
Vans,Opening,Disney World Officially Opens Highly-Anticipated New Location Overnight - disneydining.com,https://www.disneydining.com/disney-world-officially-opens-highly-anticipated-new-location-overnight-sb1/,2026-07-03 16:20:25+00:00,Disney World Officially Opens Highly-Anticipated New Location Overnight disneydining.com,2026-07-04
Nothing Bundt Cakes,Opening,Mother of teen killed in Nothing Bundt Cakes crash pledges to open bakery on daughter's behalf - Houston Chronicle,https://www.houstonchronicle.com/news/houston-texas/trending/article/crash-nothing-bundt-cakes-22330732.php,2026-07-03 15:59:24+00:00,Mother of teen killed in Nothing Bundt Cakes crash pledges to open bakery on daughter's behalf Houston Chronicle,2026-07-04
Swig,Closing,TxDOT schedules multiple weekends of overnight Interstate 35 closures in Austin - MSN,https://www.msn.com/en-us/autos/news/txdot-schedules-multiple-weekends-of-overnight-interstate-35-closures-in-austin/ar-AA26E6RI,2026-07-03 15:43:45+00:00,TxDOT schedules multiple weekends of overnight Interstate 35 closures in Austin MSN,2026-07-04
Shake Shack,Opening,Shake Shack sets opening date for restaurant in Aliana area of Fort Bend County - The Business Journals,https://www.bizjournals.com/houston/news/2026/07/03/shake-shack-opening-near-aliana-fort-bend-county.html,2026-07-03 15:37:00+00:00,Shake Shack sets opening date for restaurant in Aliana area of Fort Bend County The Business Journals,2026-07-04
Swig,Closing,7 restaurant chains and eateries closing in 2026 - MSN,http://www.msn.com/en-us/money/companies/7-restaurant-chains-and-eateries-closing-in-2026/ss-AA26Ovhx,2026-07-03 15:15:01+00:00,7 restaurant chains and eateries closing in 2026 MSN,2026-07-04
Olive Garden,Opening,Olive Garden just opened a new Canadian restaurant – and there are plans for many more - canoe.com,https://canoe.com/life/food/olive-garden-new-location-canada,2026-07-03 14:35:59+00:00,Olive Garden just opened a new Canadian restaurant – and there are plans for many more canoe.com,2026-07-04
Five Guys,Closing,Five Guys burger chain closes another location in the Valley. Here’s where - Fresno Bee,https://www.fresnobee.com/news/business/article316362981.html,2026-07-03 14:17:17+00:00,Five Guys burger chain closes another location in the Valley. Here’s where Fresno Bee,2026-07-04
Gap,Closing,How Close Is Houston Football to Closing the Gap on Texas Tech and BYU? - Sports Illustrated,https://www.si.com/college/houston/football/how-close-is-houston-football-to-closing-the-gap-on-texas-tech-and-byu,2026-07-03 13:53:29+00:00,How Close Is Houston Football to Closing the Gap on Texas Tech and BYU? Sports Illustrated,2026-07-04
